sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
XYZ-ABC,,Default,configurable,"Default Category,Default Category/Men,Default Category/Men/SHIRTS",base,"Product name goes here","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen",,2.000000,1,"Taxable Goods","Catalog, Search",,,,,marco-lightweight-active-hoodie,"Marco lightweight active hoodie","Marco lightweight active hoodie","Marco lightweight active hoodie ",/b/l/blue-hoddie.jpg,,/b/l/blue-hoddie.jpg,,/b/l/blue-hoddie.jpg,,,,"9/3/20, 8:11 AM","9/4/20, 6:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"img_hover=/b/l/blue-hoddie.jpg,material=Clothing|Accessories|Bags|Shirts|Watches,ox_custom=No,ox_featured=No,type=Bags",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"SKM,OPQ,SKM2,IKM,DFG,LYU,UIO,GHK","1,2,3,4,5,6,7,8",,,,,"/b/l/blue-hoddie.jpg,/l/i/light_blue.jpg",",",,,,,,,,,,,,"sku=Marco lightweight active hoodie-red,color=light blue|sku=Marco lightweight active hoodie-blue,color=blue",color=COLOUR
"Marco lightweight active hoodie-blue",,Default,simple,"Default Category,Default Category/Men,Default Category/Men/SHIRTS",base,"Marco lightweight active hoodie-blue",,,2.000000,1,"Taxable Goods","Not Visible Individually",223.000000,,,,marco-lightweight-active-hoodie-blue,"Marco lightweight active hoodie","Marco lightweight active hoodie","Marco lightweight active hoodie ",/b/l/blue-hoddie_1.jpg,,/b/l/blue-hoddie_1.jpg,,/b/l/blue-hoddie_1.jpg,,/b/l/blue-hoddie_1.jpg,,"9/3/20, 8:11 AM","9/4/20, 7:28 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=blue,material=Clothing,ox_custom=No,ox_featured=No,type=Bags",23.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/l/blue-hoddie_1.jpg,,,,,,,,,,,,,,
"Marco lightweight active hoodie-red",,Default,simple,"Default Category,Default Category/Men,Default Category/Men/SHIRTS",base,"Marco lightweight active hoodie-red","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen</p>",,2.000000,1,"Taxable Goods","Not Visible Individually",78.000000,,,,marco-lightweight-active-hoodie-red,"Marco lightweight active hoodie","Marco lightweight active hoodie","Marco lightweight active hoodie ",/l/i/light_blue_1.jpg,,/l/i/light_blue_1.jpg,,/l/i/light_blue_1.jpg,,/l/i/light_blue_1.jpg,,"9/3/20, 8:11 AM","9/3/20, 8:11 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=light blue,ox_custom=No,ox_featured=No",23.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/l/i/light_blue_1.jpg,,,,,,,,,,,,,,
SKM-Red,,Default,simple,"Default Category/Women,Default Category/Women/NEW ARRIVALS",base,"Product name goes here-Red",,,1.000000,1,"Taxable Goods","Not Visible Individually",45.000000,,,,product-name-goes-here-red,"Product name goes here","Product name goes here","Product name goes here ",/r/e/red_2.png,,/r/e/red_2.png,,/r/e/red_2.png,,/r/e/red_2.png,,"9/3/20, 8:36 AM","9/3/20, 8:36 AM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,ox_custom=No,ox_featured=No",23.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/e/red_2.png,,,,,,,,,,,,,,
SKM-black,,Default,simple,"Default Category/Women,Default Category/Women/NEW ARRIVALS",base,"Product name goes here-black","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen",,1.000000,1,"Taxable Goods","Not Visible Individually",56.000000,,,,product-name-goes-here-black,"Product name goes here","Product name goes here","Product name goes here ",/g/r/group_4_dress_2__5.png,,/g/r/group_4_dress_2__5.png,,/g/r/group_4_dress_2__5.png,,/g/r/group_4_dress_2__5.png,,"9/3/20, 8:36 AM","9/4/20, 3:18 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=black,ox_custom=No,ox_featured=No",23.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/group_4_dress_2__5.png,,,,,,,,,,,,,,
SKM,,Default,configurable,"Default Category/Women,Default Category/Women/NEW ARRIVALS,Default Category/Men,Default Category/Home,Default Category/Stationary,Default Category/Kids,Default Category/Kids/ACCESSORIES",base,"Product name goes here","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen
",,1.000000,1,"Taxable Goods","Catalog, Search",,,,,product-name-goes-here,"Product name goes here","Product name goes here","Product name goes here ",/g/r/group_4_dress_2__4.png,,/g/r/group_4_dress_2__4.png,,/g/r/group_4_dress_2__4.png,,no_selection,,"9/3/20, 8:36 AM","9/4/20, 8:13 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"img_hover=/g/r/group_4_dress_2__4.png,material=Clothing|Accessories|Bags|Shirts|Watches,ox_custom=No,ox_featured=No,type=Shoes",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"XYZ-ABC,OPQ,XYZ-ABC2,SKM2,IKM,DFG,XLMO,LYU,UIO,GHK","1,2,3,4,5,6,7,8,9,10",,,,,"/r/e/red_1.png,/g/r/group_4_dress_2__4.png",",",,,,,,,,,,,,"sku=SKM-black,color=black|sku=SKM-Red,color=Red",color=COLOUR
OPQ-black,,Default,virtual,"Default Category,Default Category/Men,Default Category/Men/ACCESSORIES",base,"Product name goes here-black","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen
",,,1,"Taxable Goods","Not Visible Individually",23.000000,,,,marco-lightweight-active-hoodie17,"Product name goes here","Product name goes here","Product name goes here Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in ",/g/r/group_4bag_5.png,,/g/r/group_4bag_5.png,,/g/r/group_4bag_5.png,,/g/r/group_4bag_5.png,,"9/3/20, 8:50 AM","9/4/20, 3:11 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=black,ox_custom=No,ox_featured=No",45.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/group_4bag_5.png,,,,,,,,,,,,,,
OPQ-purple,,Default,virtual,"Default Category,Default Category/Men,Default Category/Men/ACCESSORIES",base,"Product name goes here-purple","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen
",,,1,"Taxable Goods","Not Visible Individually",33.000000,,,,marco-lightweight-active-hoodie18,"Product name goes here","Product name goes here","Product name goes here Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in ",/g/r/group_4bag_4.png,,/g/r/group_4bag_4.png,,/g/r/group_4bag_4.png,,/g/r/group_4bag_4.png,,"9/3/20, 8:50 AM","9/4/20, 3:10 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=purple,ox_custom=No,ox_featured=No",45.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/group_4bag_4.png,,,,,,,,,,,,,,
OPQ-purple-1,,Default,virtual,"Default Category,Default Category/Men,Default Category/Men/ACCESSORIES",base,"Product name goes here-purple","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen
",,,1,"Taxable Goods","Not Visible Individually",23.000000,,,,marco-lightweight-active-hoodie19,"Product name goes here","Product name goes here","Product name goes here Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in ",/g/r/group_4bag.png,,/g/r/group_4bag.png,,/g/r/group_4bag.png,,/g/r/group_4bag.png,,"9/3/20, 8:52 AM","9/4/20, 3:04 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=purple,ox_custom=No,ox_featured=No",45.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/group_4bag.png,,,,,,,,,,,,,,
OPQ-black-1,,Default,virtual,"Default Category,Default Category/Men,Default Category/Men/ACCESSORIES",base,"Product name goes here-black","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in tellus rhoncus suscipit. Suspendisse varius pulvinar enim, sit amet sodales ipsum cursus quis. Curabitur fermentum eros et placerat sagittis. Sed malesuada tincidunt velit, ut suscipit augue molestie eu. Proin dignissim dui lacus, eu cursus tellus faucibus eu. Sed nec mi nisi. Nam ac condimentum purus. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque porta nisi sed porttitor rhoncus. Quisque eleifend sapien euismod nunc malesuada, ac pellen
",,,1,"Taxable Goods","Not Visible Individually",45.000000,,,,marco-lightweight-active-hoodie20,"Product name goes here","Product name goes here","Product name goes here Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec vel efficitur dui. Etiam vehicula ipsum diam, quis mattis nibh mattis sit amet. Vestibulum nec dolor scelerisque, iaculis risus a, ultricies neque. In tincidunt diam in ",/g/r/group_4bag_2.png,,/g/r/group_4bag_2.png,,/g/r/group_4bag_2.png,,/g/r/group_4bag_2.png,,"9/3/20, 8:52 AM","9/4/20, 3:06 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"color=black,ox_custom=No,ox_featured=No",45.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/group_4bag_2.png,,,,,,,,,,,,,,
